Country,City,Airport,code
Iraq,Erbil,Erbil International Airport,EBL
Ireland,Dublin,Dublin Airport,DUB
Ireland,Knock,Ireland West Airport,NOC
Ireland,Shannon,Shannon Airport,SNN
Japan,Nagoya,Chubu Centrair International Airport,NGO
Japan,Osaka,Kansai International Airport,KIX
Japan,Tokyo,Haneda International Airport,HND
Jersey,Jersey,Jersey Airport,JER
Jordan,Amman,Queen Alia International Airport,AMM
Kazakhstan,Almaty,Almaty International Airport,ALA
Kazakhstan,Nur-Sultan,Nursultan Nazarbayev International Airport,NQZ
Kenya,Nairobi,Jomo Kenyatta International Airport,NBO
Kuwait,Kuwait City,Kuwait International Airport,KWI
Latvia,Riga,Riga International Airport,RIX
Lebanon,Beirut,Beirut–Rafic Hariri International Airport,BEY
Lithuania,Vilnius,Vilnius International Airport,VNO
Luxembourg,Luxembourg City,Luxembourg Findel Airport,LUX
Maldives,Malé,Velana International Airport,MLE
Malta,Luqa,Malta International Airport,MLA
Mauritius,Port Louis,Sir Seewoosagur Ramgoolam International Airport,
Mexico,Cancún,Cancún International Airport,CUN
Mexico,Mexico City,Mexico City International Airport,MEX
Moldova,Chişinău,Chişinău International Airport,KIV
Morocco,Casablanca,Mohammed V International Airport,CMN
Morocco,Marrakech,Marrakesh Menara Airport,RAK
Netherlands,Amsterdam,Amsterdam Airport Schiphol,AMS
Nigeria,Abuja,Nnamdi Azikiwe International Airport,ABV
Nigeria,Lagos,Murtala Muhammed International Airport,LOS
Nigeria,Port Harcourt,Port Harcourt International Airport,PHC
Norway,Oslo,Oslo Gardermoen Airport,OSL
Norway,Tromsø,Tromsø Airport,TOS
Norway,Trondheim,Trondheim Airport,TRD
Panama,Panama City,Tocumen International Airport,PTY
Poland,Gdańsk,Gdańsk Lech Wałęsa Airport,GDN
Poland,Katowice,Katowice International Airport,KTW
Poland,Kraków,Kraków John Paul II International Airport,KRK
Poland,Lublin,Lublin Airport,LUZ
Poland,Poznań,Poznań–Ławica Airport,POZ
Poland,Rzeszów,Rzeszów–Jasionka Airport,RZE
Poland,Warsaw,Warsaw Chopin Airport,WAW
Poland,Wroclaw,Copernicus Airport Wrocław,WRO
Portugal,Faro,Faro Airport,FAO
Portugal,Funchal,Cristiano Ronaldo Airport,FNC
Portugal,Lisbon,Lisbon Portela International Airport,
Portugal,Porto,Francisco Sá Carneiro Airport,OPO
Romania,Bucharest,Henri Coandă International Airport,OTP
Romania,Cluj-Napoca,Cluj International Airport,CLJ
Romania,Sibiu,Sibiu International Airport,SBZ
Romania,Timișoara,Traian Vuia International Airport,TSR
Russia,Moscow,Domodedovo International Airport,DME
Russia,Saint Petersburg,Pulkovo Airport,LED
Saudi Arabia,Dammam,King Fahd International Airport,DMM
Saudi Arabia,Jeddah,King Abdulaziz International Airport,JED
Saudi Arabia,Riyadh,King Khalid International Airport,RUH
Serbia,Belgrade,Belgrade Nikola Tesla Airport,BEG
Singapore,Singapore,Singapore Changi Airport,SIN
Slovenia,Ljubljana,Ljubljana Airport,LJU
South Africa,Cape Town,Cape Town International Airport,CPT
South Africa,Johannesburg,O. R. Tambo International Airport,JNB
South Korea,Seoul,Incheon International Airport,ICN
Spain,Alicante,Alicante-Elche Airport,ALC
Spain,Barcelona,Barcelona–El Prat Airport,BCN
Spain,Bilbao,Bilbao Airport,BIO
Spain,Fuerteventura,Fuerteventura Airport,FUE
Spain,Ibiza,Ibiza Airport,IBZ
Spain,Jerez de la Frontera,Jerez Airport,XRY
Spain,Las Palmas,Gran Canaria Airport,LPA
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,MAD
Spain,Málaga,Málaga Airport,AGP
Spain,Palma de Mallorca,Palma de Mallorca Airport,PMI
Spain,Pamplona,Pamplona Airport,PNA
Spain,Santiago de Compostela,Santiago de Compostela Airport,SCQ
Spain,Seville,Sevilla Airport,SVQ
Spain,Tenerife,Tenerife South Airport,TFS
Spain,Valencia,Valencia Airport,VLC
Sweden,Gothenburg,Göteborg Landvetter Airport,GOT
Sweden,Stockholm,Stockholm Arlanda Airport,ARN
Switzerland,Geneva,Geneva Airport,GVA
Switzerland,Zürich,Zürich Airport,ZRH
SwitzerlandFranceGermany,BaselMulhouseFreiburg,EuroAirport Basel Mulhouse Freiburg,Hub
Thailand,Bangkok,Suvarnabhumi International Airport,BKK
Tunisia,Tunis,Tunis–Carthage International Airport,TUN
Turkey,Antalya,Antalya Airport,AYT
Turkey,Bodrum,Milas–Bodrum Airport,BJV
Turkey,Istanbul,Istanbul Arnavutköy International Airport,
Turkey,Izmir,Izmir Adnan Menderes Airport,ADB
Ukraine,Kyiv,Boryspil International Airport,KBP
Ukraine,Lviv,Lviv International Airport,LWO
Ukraine,Odessa,Odesa International Airport,ODS
United Arab Emirates,Dubai,Dubai International Airport,DXB
United Kingdom,Birmingham,Birmingham Airport,BHX
United Kingdom,Bristol,Bristol Airport,BRS
United Kingdom,Cardiff,Cardiff Airport,CWL
United Kingdom,Edinburgh,Edinburgh Airport,EDI
United Kingdom,Glasgow,Glasgow Airport,GLA
United Kingdom,Inverness,Inverness Airport,INV
United Kingdom,London,London City Airport,LCY
United Kingdom,London,London Gatwick International Airport,LGW
United Kingdom,London,London Heathrow International Airport,LHR
United Kingdom,Manchester,Manchester Airport,MAN
United Kingdom,Newcastle upon Tyne,Newcastle International Airport,NCL
United Kingdom,Newquay,Newquay Cornwall Airport,NQY
United States,Atlanta,Hartsfield–Jackson Atlanta International Airport,ATL
United States,Austin,Austin–Bergstrom International Airport,AUS
United States,Boston,Logan International Airport,BOS
United States,Charlotte,Charlotte Douglas International Airport,CLT
United States,Chicago,Chicago O'Hare International Airport,ORD
United States,Dallas,Dallas/Fort Worth International Airport,DFW
United States,Denver,Denver International Airport,DEN
United States,Detroit,Detroit Metropolitan Airport,DTW
United States,Houston,George Bush Intercontinental Airport,IAH
United States,Los Angeles,Los Angeles International Airport,LAX
United States,Miami,Miami International Airport,MIA
United States,Newark,Newark Liberty International Airport,EWR
United States,New York City,John F. Kennedy International Airport,JFK
United States,Orlando,Orlando International Airport,MCO
United States,Philadelphia,Philadelphia International Airport,PHL
United States,Seattle,Seattle–Tacoma International Airport,SEA
United States,Tampa,Tampa International Airport,TPA
United States,"Washington, D.C.",Washington Dulles International Airport,IAD
