airportCode,country,city,airport,latitude,longitude
DRS,Germany,Dresden,Dresden Airport,51.1344,13.7681
DTW,United States,Detroit,Detroit Metropolitan Airport,42.2125,-83.3533
DUB,Ireland,Dublin,Dublin Airport,53.4214,-6.27
DUS,Germany,Düsseldorf,Düsseldorf Airport,51.2894,6.7667
DXB,United Arab Emirates,Dubai,Dubai International Airport,25.2528,55.3644
EBL,Iraq,Erbil,Erbil International Airport,36.2378,43.9631
EDI,United Kingdom,Edinburgh,Edinburgh Airport,55.95,-3.3725
EWR,United States,Newark,Newark Liberty International Airport,40.6925,-74.1686
EZE,Argentina,Buenos Aires,Ministro Pistarini International Airport,-34.8222,-58.5358
FAO,Portugal,Faro,Faro Airport,37.0144,-7.9658
FDH,Germany,Friedrichshafen,Friedrichshafen Airport,47.6714,9.5114
FMO,Germany,Münster,Münster Osnabrück International Airport,52.1347,7.6847
FNC,Portugal,Funchal,Cristiano Ronaldo Airport,32.6942,-16.7781
FRA,Germany,Frankfurt,Frankfurt am Main International Airport,50.0331,8.5706
FUE,Spain,Fuerteventura,Fuerteventura Airport,28.4528,-13.8639
GDN,Poland,Gdańsk,Gdańsk Lech Wałęsa Airport,54.3775,18.4661
GIG,Brazil,Rio de Janeiro,Rio de Janeiro–Galeão International Airport,-22.8125,-43.2483
GLA,United Kingdom,Glasgow,Glasgow Airport,,
GOT,Sweden,Gothenburg,Göteborg Landvetter Airport,57.6628,12.2797
GRU,Brazil,São Paulo,São Paulo–Guarulhos International Airport,-23.4319,-46.4694
GRZ,Austria,Graz,Graz Airport,46.9936,15.44
GVA,Switzerland,Geneva,Geneva Airport,46.2381,6.1089
GWT,Germany,Westerland,Sylt Airport,54.9133,8.3406
GYD,Azerbaijan,Baku,Heydar Aliyev International Airport,,
HAJ,Germany,Hanover,Hanover Airport,52.4606,9.6894
HAM,Germany,Hamburg,Hamburg Airport,53.6303,9.9883
HEL,Finland,Helsinki,Helsinki Airport,60.3172,24.9633
HER,Greece,Heraklion,Heraklion International Airport,35.3397,25.1803
HKG,Hong Kong,Hong Kong,Kai Tak International Airport,22.3089,113.9147
HND,Japan,Tokyo,Haneda International Airport,35.5522,139.7797
Hub,SwitzerlandFranceGermany,BaselMulhouseFreiburg,EuroAirport Basel Mulhouse Freiburg,,
IAD,United States,"Washington, D.C.",Washington Dulles International Airport,38.9444,-77.4558
IAH,United States,Houston,George Bush Intercontinental Airport,29.9844,-95.3414
IBZ,Spain,Ibiza,Ibiza Airport,38.8728,1.3731
ICN,South Korea,Seoul,Incheon International Airport,37.4692,126.4506
IKA,Iran,Tehran,Tehran Imam Khomeini International Airport,35.4161,51.1522
INN,Austria,Innsbruck,Innsbruck Airport,47.2603,11.3439
INV,United Kingdom,Inverness,Inverness Airport,57.54,-4.05
JED,Saudi Arabia,Jeddah,King Abdulaziz International Airport,21.6794,39.1567
JER,Jersey,Jersey,Jersey Airport,,
JFK,United States,New York City,John F. Kennedy International Airport,40.6397,-73.7789
JNB,South Africa,Johannesburg,O. R. Tambo International Airport,-26.1392,28.2461
KBP,Ukraine,Kyiv,Boryspil International Airport,50.345,30.8947
KEF,Iceland,Reykjavík,Keflavík International Airport,,
KIV,Moldova,Chişinău,Chişinău International Airport,46.9278,28.9308
KIX,Japan,Osaka,Kansai International Airport,34.4272,135.2442
KRK,Poland,Kraków,Kraków John Paul II International Airport,50.0778,19.7847
KTT,Finland,Kittilä,Kittilä Airport,67.7011,24.8469
KTW,Poland,Katowice,Katowice International Airport,,
KWI,Kuwait,Kuwait City,Kuwait International Airport,29.2267,47.9689
LAD,Angola,Luanda,Quatro de Fevereiro Airport,-8.8583,13.2311
LAX,United States,Los Angeles,Los Angeles International Airport,33.9425,-118.4081
LCA,Cyprus,Larnaca,Larnaca International Airport,,
LCY,United Kingdom,London,London City Airport,,
LED,Russia,Saint Petersburg,Pulkovo Airport,59.8003,30.2625
LEJ,Germany,Leipzig/Halle,Leipzig/Halle Airport,51.4325,12.2417
LGW,United Kingdom,London,London Gatwick International Airport,,
LHR,United Kingdom,London,London Heathrow International Airport,51.4775,-0.4614
LJU,Slovenia,Ljubljana,Ljubljana Airport,46.2236,14.4575
LNZ,Austria,Linz,Linz Airport,48.2333,14.1875
LOS,Nigeria,Lagos,Murtala Muhammed International Airport,6.5775,3.3211
LPA,Spain,Las Palmas,Gran Canaria Airport,27.9319,-15.3867
LUX,Luxembourg,Luxembourg City,Luxembourg Findel Airport,49.6233,6.2044
LUZ,Poland,Lublin,Lublin Airport,51.2314,22.6906
LWO,Ukraine,Lviv,Lviv International Airport,49.8125,23.9561
LYS,France,Lyon,Lyon–Saint-Exupéry Airport,45.7256,5.0811
MAD,Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,40.4936,-3.5667
MAN,United Kingdom,Manchester,Manchester Airport,53.3536,-2.275
MCO,United States,Orlando,Orlando International Airport,28.4294,-81.3089
MEX,Mexico,Mexico City,Mexico City International Airport,19.4364,-99.0722
MIA,United States,Miami,Miami International Airport,25.7933,-80.2906
MLA,Malta,Luqa,Malta International Airport,35.8575,14.4775
MLE,Maldives,Malé,Velana International Airport,4.1917,73.5292
MPL,France,Montpellier,Montpellier–Méditerranée Airport,43.5833,3.9614
MRS,France,Marseilles,Marseille Provence Airport,43.4367,5.215
MSQ,Belarus,Minsk,Minsk National Airport,53.8825,28.0308
MUC,Germany,Munich,Munich Airport,48.3539,11.7861
NBO,Kenya,Nairobi,Jomo Kenyatta International Airport,-1.3192,36.9278
NCE,France,Nice,Nice Côte d'Azur Airport,43.6653,7.215
NCL,United Kingdom,Newcastle upon Tyne,Newcastle International Airport,55.0375,-1.6917
NGO,Japan,Nagoya,Chubu Centrair International Airport,34.8583,136.8053
NOC,Ireland,Knock,Ireland West Airport,,
NQY,United Kingdom,Newquay,Newquay Cornwall Airport,,
NQZ,Kazakhstan,Nur-Sultan,Nursultan Nazarbayev International Airport,51.0231,71.4669
NTE,France,Nantes,Nantes Atlantique Airport,47.1569,-1.6078
NUE,Germany,Nuremberg,Nuremberg Airport,49.4986,11.0669
ODS,Ukraine,Odessa,Odesa International Airport,46.4267,30.6764
OPO,Portugal,Porto,Francisco Sá Carneiro Airport,41.2356,-8.6781
ORD,United States,Chicago,Chicago O'Hare International Airport,41.9786,-87.9047
ORY,France,Paris,Orly Airport,,
OSL,Norway,Oslo,Oslo Gardermoen Airport,60.1939,11.1003
OTP,Romania,Bucharest,Henri Coandă International Airport,44.5722,26.1022
PAD,Germany,Paderborn,Paderborn Lippstadt Airport,51.6142,8.6164
PHC,Nigeria,Port Harcourt,Port Harcourt International Airport,5.0156,6.9497
PHL,United States,Philadelphia,Philadelphia International Airport,39.8719,-75.2411
PMI,Spain,Palma de Mallorca,Palma de Mallorca Airport,39.5517,2.7389
PNA,Spain,Pamplona,Pamplona Airport,,
POZ,Poland,Poznań,Poznań–Ławica Airport,52.4211,16.8264
PRG,Czech Republic,Prague,Václav Havel Airport Prague,50.1008,14.26
PTY,Panama,Panama City,Tocumen International Airport,9.0714,-79.3833
RAK,Morocco,Marrakech,Marrakesh Menara Airport,31.6069,-8.0364
RHO,Greece,Rhodes,Rhodes Airport,36.4056,28.0861
RIX,Latvia,Riga,Riga International Airport,56.9236,23.9711
RJK,Croatia,Rijeka,Rijeka Airport,,
RLG,Germany,Rostock,Rostock-Laage Airport,53.9181,12.2783
RNS,France,Rennes,Rennes Airport,48.0719,-1.7322
RUH,Saudi Arabia,Riyadh,King Khalid International Airport,24.9578,46.6989
RZE,Poland,Rzeszów,Rzeszów–Jasionka Airport,,
SBZ,Romania,Sibiu,Sibiu International Airport,45.7856,24.0914
SCQ,Spain,Santiago de Compostela,Santiago de Compostela Airport,42.8964,-8.4153
SEA,United States,Seattle,Seattle–Tacoma International Airport,47.4489,-122.3094
SIN,Singapore,Singapore,Singapore Changi Airport,1.3592,103.9894
SJJ,Bosnia and Herzegovina,Sarajevo,Sarajevo International Airport,43.8247,18.3314
SJO,Costa Rica,San José,Juan Santamaría International Airport,,
SKG,Greece,Thessaloniki,Thessaloniki International Airport,40.5197,22.9708
SNN,Ireland,Shannon,Shannon Airport,,
SOF,Bulgaria,Sofia,Sofia Airport,42.6953,23.4061
SPU,Croatia,Split,Split Airport,43.5389,16.2981
SSG,Equatorial Guinea,Malabo,Malabo International Airport,3.7553,8.7086
STR,Germany,Stuttgart,Stuttgart Airport,48.69,9.2219
SVQ,Spain,Seville,Sevilla Airport,37.4181,-5.8931
SXB,France,Strasbourg,Strasbourg Airport,48.5419,7.6344
SZG,Austria,Salzburg,Salzburg Airport,47.7933,13.0044
TBS,Georgia,Tbilisi,Tbilisi International Airport,,
TFS,Spain,Tenerife,Tenerife South Airport,28.0444,-16.5725
TIA,Albania,Tirana,Tirana International Airport,41.415,19.7208
TLL,Estonia,Tallinn,Tallinn Airport,59.4133,24.8325
TLS,France,Toulouse,Toulouse–Blagnac Airport,43.635,1.3678
TOS,Norway,Tromsø,Tromsø Airport,69.6833,18.9189
TPA,United States,Tampa,Tampa International Airport,27.9756,-82.5333
TRD,Norway,Trondheim,Trondheim Airport,,
TSR,Romania,Timișoara,Traian Vuia International Airport,,
TUN,Tunisia,Tunis,Tunis–Carthage International Airport,,
TXL,Germany,Berlin,Berlin Tegel Airport,52.5597,13.2878
VIE,Austria,Vienna,Vienna International Airport,48.1103,16.5781
VLC,Spain,Valencia,Valencia Airport,39.4894,-0.4817
VNO,Lithuania,Vilnius,Vilnius International Airport,54.6342,25.2858
WAW,Poland,Warsaw,Warsaw Chopin Airport,52.1658,20.9672
WRO,Poland,Wroclaw,Copernicus Airport Wrocław,51.1028,16.8858
XRY,Spain,Jerez de la Frontera,Jerez Airport,,
YOW,Canada,Ottawa,Ottawa Macdonald–Cartier International Airport,45.3225,-75.6692
YUL,Canada,Montreal,Montréal–Pierre Elliott Trudeau International Airport,45.4706,-73.7408
YVR,Canada,Vancouver,Vancouver International Airport,49.1939,-123.1844
YYZ,Canada,Toronto,Toronto Pearson International Airport,43.6772,-79.6306
ZAD,Croatia,Zadar,Zadar Airport,44.1083,15.3467
ZAG,Croatia,Zagreb,Zagreb Airport,45.7431,16.0689
ZRH,Switzerland,Zürich,Zürich Airport,47.4647,8.5492
ZTH,Greece,Zakynthos,Zakynthos Airport,37.7508,20.8842
